tweet_id,retweet_count,favorite_count
842535590457499648,3095,16364
842163532590374912,5146,22079
842115215311396866,2691,12666
841833993020538882,13300,0
841680585030541313,6991,23301
841439858740625411,3227,11357
841320156043304961,4917,17877
841314665196081154,4155,14311
841077006473256960,4779,20617
840761248237133825,1583,0
840728873075638272,14357,0
840698636975636481,2,155
840696689258311684,868,11138
840632337062862849,1583,8176
840370681858686976,4078,14867
840268004936019968,5097,17371
839990271299457024,2019,12165
839549326359670784,6931,24863
839290600511926273,128,0
839239871831150596,5809,24531
838952994649550848,3587,17856
838921590096166913,1816,10100
838916489579200512,29,0
838831947270979586,9803,0
838561493054533637,1204,9896
838476387338051585,4278,20414
838201503651401729,9001,0
838150277551247360,295,1531
838085839343206401,0,127
838083903487373313,2794,15991
837820167694528512,7019,30918
837482249356513284,397,3487
837471256429613056,2029,11628
837110210464448512,2141,14596
836989968035819520,2071,11601
836753516572119041,4167,17582
836677758902222849,1975,11491
836648853927522308,496,0
836397794269200385,24580,0
836380477523124226,2687,13470
836260088725786625,3898,19322
836001077879255040,3819,17364
835685285446955009,7266,0
835574547218894849,3235,16161
835536468978302976,1519,0
835309094223372289,18724,0
835297930240217089,2680,14934
835264098648616962,1519,7016
835246439529840640,63,1948
835172783151792128,5193,23830
835152434251116546,2696,20355
834931633769889797,1460,9798
834786237630337024,4993,19574
834574053763584002,2267,12438
834477809192075265,9562,0
834458053273591808,1513,8769
834209720923721728,4247,18704
834167344700198914,3284,14357
834089966724603904,1923,9159
834086379323871233,1996,11866
833863086058651648,2160,12236
833826103416520705,3426,16595
833732339549220864,199,0
833722901757046785,2941,19066
833479644947025920,1846,13604
833124694597443584,4345,18402
832998151111966721,1957,12061
832769181346996225,37,0
832757312314028032,3250,15349
832682457690300417,2601,10828
832645525019123713,473,2647
832636094638288896,2494,14437
832397543355072512,1995,10872
832369877331693569,2848,15557
832273440279240704,2093,10288
832215909146226688,5603,0
832215726631055365,8416,0
832088576586297345,2,56
832040443403784192,8629,0
832032802820481025,4191,16181
831939777352105988,5526,21819
831926988323639298,33,311
831911600680497154,5844,25096
831670449226514432,1656,9478
831650051525054464,1755,6463
831552930092285952,2113,8218
831322785565769729,1406,8474
831315979191906304,1012,6008
831309418084069378,2205,10735
831262627380748289,1853,10822
830956169170665475,1355,7278
830583320585068544,15103,60704
830173239259324417,5135,0
830097400375152640,2636,8886
829878982036299777,4489,0
829861396166877184,1761,11149
829501995190984704,9562,29013
829449946868879360,1824,9603
829141528400556032,6636,22250
829011960981237760,14633,48493
828801551087042563,3086,0
828770345708580865,5268,23327
828708714936930305,10089,33231
828650029636317184,1210,8669
828409743546925057,1059,5855
828408677031882754,1162,7041
828381636999917570,2015,11493
828376505180889089,970,6781
828372645993398273,2665,11506
828361771580813312,161,2013
828046555563323392,2601,10735
828011680017821696,1949,9457
827933404142436356,4721,18306
827653905312006145,2731,14117
827600520311402496,856,6857
827324948884643840,2751,14514
827199976799354881,2015,9703
826958653328592898,4490,19692
826848821049180160,9156,33024
826615380357632002,3603,0
826598799820865537,224,4707
826598365270007810,2136,9179
826476773533745153,3819,16866
826240494070030336,2373,12132
826204788643753985,842,4459
826115272272650244,2804,14296
825876512159186944,1705,9613
825829644528148480,2282,11662
825535076884762624,15866,51991
825147591692263424,4089,16723
825120256414846976,1154,0
825026590719483904,1154,5738
824796380199809024,4986,0
824775126675836928,3201,13647
824663926340194305,1619,9654
824325613288833024,9611,10847
824297048279236611,3488,13841
824025158776213504,539,4389
823939628516474880,2480,9745
823719002937630720,10146,0
823699002998870016,2261,12697
823581115634085888,2391,11861
823333489516937216,20,639
823322678127919110,3640,14381
823269594223824897,9035,0
822975315408461824,3122,15871
822872901745569793,38973,120325
822859134160621569,2069,12059
822647212903690241,5836,0
822610361945911296,2665,13560
822489057087389700,5836,16626
822462944365645825,12904,25697
822244816520155136,9035,32150
822163064745328640,4285,0
821886076407029760,2098,10358
821813639212650496,3055,0
821765923262631936,1535,7666
821522889702862852,1604,7354
821421320206483457,5031,0
821407182352777218,3922,10816
821153421864615936,8,229
821149554670182400,1791,7885
821107785811234820,1922,8772
821044531881721856,2079,11575
820837357901512704,6110,0
820749716845686786,9001,28922
820690176645140481,2948,11263
820494788566847489,516,0
820446719150292993,2355,0
820314633777061888,516,3066
820078625395449857,5660,18111
820013781606658049,1063,0
819952236453363712,1063,4879
819924195358416896,4448,11900
819711362133872643,2799,12216
819588359383371776,1834,8849
819347104292290561,1100,6633
819238181065359361,373,2066
819227688460238848,6110,21160
819015337530290176,33789,0
819015331746349057,17412,0
819006400881917954,17412,41850
819004803107983360,33789,80428
818646164899774465,19021,0
818627210458333184,6915,20644
818614493328580609,2311,9035
818588835076603904,5573,0
818536468981415936,2225,9961
818307523543449600,7309,0
818259473185828864,2032,10117
818145370475810820,2321,11280
817908911860748288,723,4480
817827839487737858,24580,47405
817777686764523521,2470,9932
817536400337801217,2679,10841
817502432452313088,3064,0
817423860136083457,13300,31025
817415592588222464,870,5161
817181837579653120,7705,0
817171292965273600,1824,8049
817120970343411712,2361,11203
817056546584727552,1487,7911
816829038950027264,4292,0
816816676327063552,1860,9223
816697700272001025,2004,8981
816450570814898180,7309,27922
816336735214911488,1762,7945
816091915477250048,1953,8269
816062466425819140,922,0
816014286006976512,4776,0
815990720817401858,922,4560
815966073409433600,7705,20593
815745968457060357,3778,0
815736392542261248,2078,9039
815639385530101762,1523,7550
815390420867969024,3491,9543
814986499976527872,1173,7057
814638523311648768,2477,10402
814578408554463233,5332,0
814530161257443328,1715,8022
814153002265309185,7924,26562
813944609378369540,2905,0
813910438903693312,1710,8587
